bta_name,aphia_id,taxon_level,genus,family,order,class,phylum,n_sites,total_abund,in_biotic,Size,LifeSpan,feedingmethod,mobility,growthform,Bioturbator,bio_none,bio_biodiff,bio_upward,bio_downward,bio_bioirr,bio_surf_mod,size<5,size_5_10,size_10_20,size_20_40,size_40_80,size>80,life<1,life_1_3,life_3_5,life_5_10,life>10,feed_deposit,feed_suspension,feed_detritus,feed_scavenger,feed_grazer,feed_predator,morph_soft,morph_tunic,morph_exoskeleton,morph_crustose,morph_cushion,morph_stalked,morph_endoskeleton,mob_fixed,mob_limited,mob_slow,mob_mobile,life_min,life_max
Owenia fusiformis,130544,species,Owenia,Oweniidae,NA,Polychaeta,Annelida,84,85,TRUE,Small-medium(3-10cm),3-5 years,"Passive suspension feeder, Active suspension feeder, Surface deposit feeder, Sub-surface deposit feeder",Burrower,Vermiform segmented,Not researched,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,3,NA,NA,1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5
Abra alba,141433,species,Abra,Semelidae,Cardiida,Bivalvia,Mollusca,82,82,TRUE,Small(1-2cm),1-2 years,"Passive suspension feeder, Active suspension feeder, Surface deposit feeder, Sub-surface deposit feeder",Burrower,Bivalved,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
Amphiura filiformis,125080,species,Amphiura,Amphiuridae,Amphilepidida,Ophiuroidea,Echinodermata,66,67,TRUE,Medium(11-20 cm),11-20 years,"Passive suspension feeder, Active suspension feeder, Surface deposit feeder, Sub-surface deposit feeder","Crawler, Burrower","Radial, Stellate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,3,1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,20
Scalibregma inflatum,130980,species,Scalibregma,Scalibregmatidae,NA,Polychaeta,Annelida,60,60,TRUE,Small-medium(3-10cm),NA,"Surface deposit feeder, Sub-surface deposit feeder",Burrower,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mediomastus fragilis,129892,species,Mediomastus,Capitellidae,NA,Polychaeta,Annelida,59,59,TRUE,Small-medium(3-10cm),Insufficient information,Sub-surface deposit feeder,Burrower,Vermiform segmented,Not researched,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chaetozone setosa,129955,species,Chaetozone,Cirratulidae,Terebellida,Polychaeta,Annelida,56,57,TRUE,Small(1-2cm),1-2 years,"Surface deposit feeder, Sub-surface deposit feeder",Burrower,Vermiform segmented,Not researched,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
Glycera lapidum,130123,species,Glycera,Glyceridae,Phyllodocida,Polychaeta,Annelida,54,54,TRUE,Small(1-2cm),NA,"Predator, Scavenger","Swimmer, Burrower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nephtys incisa,130362,species,Nephtys,Nephtyidae,Phyllodocida,Polychaeta,Annelida,53,54,TRUE,Small-medium(3-10cm),NA,"Surface deposit feeder, Sub-surface deposit feeder",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nucula nitidosa,140589,species,Nucula,Nuculidae,Nuculida,Bivalvia,Mollusca,51,52,TRUE,Small(1-2cm),6-10 years,"Surface deposit feeder, Sub-surface deposit feeder","Crawler, Burrower",Bivalved,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,10
Goniada maculata,130140,species,Goniada,Goniadidae,Phyllodocida,Polychaeta,Annelida,50,50,TRUE,Small-medium(3-10cm),NA,"Predator, Scavenger","Swimmer, Burrower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abra nitida,141435,species,Abra,Semelidae,Cardiida,Bivalvia,Mollusca,47,48,TRUE,Small(1-2cm),2-3 years,"Passive suspension feeder, Active suspension feeder, Surface deposit feeder, Sub-surface deposit feeder",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3
Echinocyamus pusillus,124273,species,Echinocyamus,Fibulariidae,Echinolampadacea,Echinoidea,Echinodermata,46,46,TRUE,Small(1-2cm),Insufficient information,"Surface deposit feeder, Sub-surface deposit feeder",Burrower,Globose,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Timoclea ovata,141929,species,Timoclea,Veneridae,Venerida,Bivalvia,Mollusca,43,43,TRUE,Small(1-2cm),NA,"Passive suspension feeder, Active suspension feeder",Crawler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nephtys hombergii,130359,species,Nephtys,Nephtyidae,Phyllodocida,Polychaeta,Annelida,39,39,TRUE,Medium(11-20 cm),3-5 years,"Predator, Scavenger","Swimmer, Crawler, Burrower",Vermiform segmented,Diffusive mixing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA,NA,NA,NA,1.5,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5
Nereimyra punctata,130185,species,Nereimyra,Hesionidae,Phyllodocida,Polychaeta,Annelida,36,36,TRUE,Small(1-2cm),NA,"Surface deposit feeder, Sub-surface deposit feeder",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Photis longicaudata,102383,species,Photis,Photidae,Amphipoda,Malacostraca,Arthropoda,33,33,TRUE,Very small(<1cm),NA,"Passive suspension feeder, Active suspension feeder","Swimmer, Burrower",NA,NA,NA,NA,NA,NA,NA,NA,1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ampelisca tenuicornis,101930,species,Ampelisca,Ampeliscidae,Amphipoda,Malacostraca,Arthropoda,30,30,TRUE,Small-medium(3-10cm),1-2 years,"Passive suspension feeder, Active suspension feeder, Surface deposit feeder, Sub-surface deposit feeder","Swimmer, Burrower, Temporary attachment",Articulate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,3,NA,NA,NA,1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
Amphiura chiajei,125073,species,Amphiura,Amphiuridae,Amphilepidida,Ophiuroidea,Echinodermata,30,30,TRUE,Small-medium(3-10cm),6-10 years,"Surface deposit feeder, Sub-surface deposit feeder","Crawler, Burrower","Stellate, Radial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,10
Balanus crenatus,106215,species,Balanus,Balanidae,Balanomorpha,Thecostraca,Arthropoda,29,29,TRUE,Small(1-2cm),1-2 years,"Passive suspension feeder, Active suspension feeder",Permanent attachment,Conical,Not relevant,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
Glycera alba,130116,species,Glycera,Glyceridae,Phyllodocida,Polychaeta,Annelida,29,29,TRUE,Small-medium(3-10cm),NA,"Predator, Scavenger","Swimmer, Burrower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hiatella arctica,140103,species,Hiatella,Hiatellidae,Adapedonta,Bivalvia,Mollusca,29,29,TRUE,Small-medium(3-10cm),NA,"Passive suspension feeder, Active suspension feeder",Permanent attachment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aonides paucibranchiata,131107,species,Aonides,Spionidae,Spionida,Polychaeta,Annelida,27,27,TRUE,Small-medium(3-10cm),NA,"Surface deposit feeder, Sub-surface deposit feeder",Burrower,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ampelisca diadema,101896,species,Ampelisca,Ampeliscidae,Amphipoda,Malacostraca,Arthropoda,24,24,TRUE,Small(1-2cm),1-2 years,"Passive suspension feeder, Active suspension feeder","Swimmer, Burrower, Temporary attachment",Articulate,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
Phymatolithon calcareum,145199,species,Phymatolithon,Hapalidiaceae,Hapalidiales,Florideophyceae,Rhodophyta,23,23,TRUE,Small-medium(3-10cm),51-100 years,Photoautotroph,See additional information,Algal gravel,Not relevant,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,100
Abludomelita obtusata,102788,species,Abludomelita,Melitidae,Amphipoda,Malacostraca,Arthropoda,22,22,TRUE,Very small(<1cm),NA,"Surface deposit feeder, Sub-surface deposit feeder","Swimmer, Burrower",NA,NA,NA,NA,NA,NA,NA,NA,1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phaxas pellucidus,140737,species,Phaxas,Pharidae,Adapedonta,Bivalvia,Mollusca,21,22,TRUE,Small-medium(3-10cm),Insufficient information,"Passive suspension feeder, Active suspension feeder",Burrower,Bivalved,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ampelisca brevicornis,101891,species,Ampelisca,Ampeliscidae,Amphipoda,Malacostraca,Arthropoda,21,21,TRUE,Small(1-2cm),1-2 years,"Passive suspension feeder, Active suspension feeder, Surface deposit feeder, Sub-surface deposit feeder","Swimmer, Crawler",Articulate,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
Arctica islandica,138802,species,Arctica,Arcticidae,Venerida,Bivalvia,Mollusca,19,20,TRUE,Medium(11-20 cm),100+ years,"Passive suspension feeder, Active suspension feeder, Surface deposit feeder, Sub-surface deposit feeder",Burrower,Bivalved,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,3,1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100
Scoloplos armiger,130537,species,Scoloplos,Orbiniidae,NA,Polychaeta,Annelida,18,18,TRUE,Medium(11-20 cm),3-5 years,"Surface deposit feeder, Sub-surface deposit feeder",Burrower,Vermiform segmented,Diffusive mixing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5
Urothoe elegans,103228,species,Urothoe,Urothoidae,Amphipoda,Malacostraca,Arthropoda,18,18,TRUE,Very small(<1cm),NA,"Surface deposit feeder, Sub-surface deposit feeder","Swimmer, Burrower",NA,NA,NA,NA,NA,NA,NA,NA,1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Parvicardium scabrum,139012,species,Parvicardium,Cardiidae,Cardiida,Bivalvia,Mollusca,17,17,TRUE,Small(1-2cm),NA,"Passive suspension feeder, Active suspension feeder",Burrower,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anoplodactylus petiolatus,134723,species,Anoplodactylus,Phoxichilidiidae,Pantopoda,Pycnogonida,Arthropoda,15,15,TRUE,Very small(<1cm),NA,"Predator, Scavenger","Swimmer, Crawler",NA,NA,NA,NA,NA,NA,NA,NA,1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
